Mod:Item:MetaData, Localized Name
draconicevolution:flow_gate:0, Flux Gate
draconicevolution:flow_gate:8, Fluid Gate
draconicevolution:reactor_core, Draconic Reactor Core
draconicevolution:reactor_part:0, Reactor Stabilizer Frame
draconicevolution:reactor_part:1, Reactor Stabilizer Inner Rotor
draconicevolution:reactor_part:2, Reactor Stabilizer Outer Rotor
draconicevolution:reactor_part:3, Reactor Stabilizer Rotor Assembly
draconicevolution:reactor_part:4, Reactor Stabilizer Focus Ring
draconicevolution:reactor_component:0, Reactor Stabilizer
draconicevolution:reactor_component:1, Reactor Energy Injector
draconicevolution:draconic_spawner, Stabilized Mob Spawner
draconicevolution:draconium_chest, Draconium Chest
draconicevolution:chaos_crystal, Chaos Crystal
draconicevolution:chaos_shard_atmos, tile.draconicevolution:chaos_shard_atmos.name
draconicevolution:creative_rf_source, Creative RF Source
draconicevolution:placed_item, tile.draconicevolution:placed_item.name
draconicevolution:draconium_dust, Draconium Dust
draconicevolution:draconium_ingot, Draconium Ingot
draconicevolution:draconic_ingot, Awakened Draconium Ingot
draconicevolution:draconic_core, Draconic Core
draconicevolution:wyvern_core, Wyvern Core
draconicevolution:awakened_core, Awakened Core
draconicevolution:chaotic_core, Chaotic Core
draconicevolution:wyvern_energy_core, Wyvern Energy Core
draconicevolution:draconic_energy_core, Draconic Energy Core
draconicevolution:dragon_heart, Dragon Heart
draconicevolution:debugger, item.draconicevolution:debugger.name
draconicevolution:nugget:0, Draconium Nugget
draconicevolution:nugget:1, Awakened Draconium Nugget
draconicevolution:chaos_shard:0, Chaos Shard
draconicevolution:chaos_shard:1, Large Chaos Fragment
draconicevolution:chaos_shard:2, Small Chaos Fragment
draconicevolution:chaos_shard:3, Tiny Chaos Fragment
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:0, Wyvern Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:1, Draconic Flux Capacitor
draconicevolution:draconium_capacitor:2, Creative Flux Capacitor
draconicevolution:wyvern_axe, Axe of the Wyvern
draconicevolution:wyvern_bow, Bow of the Wyvern
draconicevolution:wyvern_pick, Pickaxe of the Wyvern
draconicevolution:wyvern_shovel, Shovel of the Wyvern
draconicevolution:wyvern_sword, Sword of the Wyvern
draconicevolution:draconic_axe, Draconic Axe
draconicevolution:draconic_bow, Draconic Bow
draconicevolution:draconic_hoe, Draconic Hoe
draconicevolution:draconic_pick, Draconic Pickaxe
draconicevolution:draconic_shovel, Draconic Shovel
draconicevolution:draconic_staff_of_power, Draconic Staff of Power
draconicevolution:draconic_sword, Draconic Sword
draconicevolution:tool_upgrade:0, Upgrade Key (RF Capacity)
draconicevolution:tool_upgrade:1, Upgrade Key (Dig Speed)
draconicevolution:tool_upgrade:2, Upgrade Key (Dig AOE)
draconicevolution:tool_upgrade:3, Upgrade Key (Attack Damage)
draconicevolution:tool_upgrade:4, Upgrade Key (Attack AOE)
draconicevolution:tool_upgrade:5, Upgrade Key (Arrow Damage)
draconicevolution:tool_upgrade:6, Upgrade Key (Draw Speed)
draconicevolution:tool_upgrade:7, Upgrade Key (Arrow Speed)
draconicevolution:tool_upgrade:8, Upgrade Key (Shield Capacity)
draconicevolution:tool_upgrade:9, Upgrade Key (Shield Recovery)
draconicevolution:tool_upgrade:10, Upgrade Key (Movement Speed)
draconicevolution:tool_upgrade:11, Upgrade Key (Jump Boost)
draconicevolution:dislocator, Dislocator
draconicevolution:dislocator_advanced, Advanced Dislocator
draconicevolution:dislocator_bound:1, Bound Dislocator (Point to Point)
draconicevolution:dislocator_bound:2, Bound Dislocator (Player)
draconicevolution:magnet:0, Item Dislocator
draconicevolution:magnet:1, Awakened Item Dislocator
draconicevolution:crystal_binder, Crystal Binder
draconicevolution:wyvern_helm, Wyvern Helm
draconicevolution:wyvern_chest, Wyvern Chestplate
draconicevolution:wyvern_legs, Wyvern Leggings
draconicevolution:wyvern_boots, Wyvern Boots
draconicevolution:draconic_helm, Draconic Helm
draconicevolution:draconic_chest, Draconic Chestplate
draconicevolution:draconic_legs, Draconic Leggings
draconicevolution:draconic_boots, Draconic Boots
draconicevolution:info_tablet, Draconic Evolution Information Tablet
draconicevolution:mob_soul, Soul
draconicevolution:creative_exchanger, Creative Block Exchanger
draconicevolution:ender_energy_manipulator, Ender Energy Manipulator
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
thermalexpansion:machine:0, Redstone Furnace (Basic)
thermalexpansion:machine:1, Pulverizer (Basic)
thermalexpansion:machine:2, Sawmill (Basic)
thermalexpansion:machine:3, Induction Smelter (Basic)
thermalexpansion:machine:4, Phytogenic Insolator (Basic)
thermalexpansion:machine:5, Compactor (Basic)
thermalexpansion:machine:6, Magma Crucible (Basic)
thermalexpansion:machine:7, Fractionating Still (Basic)
thermalexpansion:machine:8, Fluid Transposer (Basic)
thermalexpansion:machine:9, Energetic Infuser (Basic)
thermalexpansion:machine:10, Centrifugal Separator (Basic)
thermalexpansion:machine:11, Sequential Fabricator (Basic)
thermalexpansion:machine:12, Alchemical Imbuer (Basic)
thermalexpansion:machine:13, Arcane Ensorcellator (Basic)
thermalexpansion:machine:14, Glacial Precipitator (Basic)
thermalexpansion:machine:15, Igneous Extruder (Basic)
thermalexpansion:device:0, Aqueous Accumulator
thermalexpansion:device:1, Nullifier
thermalexpansion:device:2, Thermal Mediator
thermalexpansion:device:3, Arboreal Extractor
thermalexpansion:device:4, Aquatic Entangler
thermalexpansion:device:5, Item Allocator
thermalexpansion:device:6, Fluid Allocator
thermalexpansion:device:7, Lexical Transmuter
thermalexpansion:device:8, Insightful Condenser
thermalexpansion:device:9, Decoctive Diffuser
thermalexpansion:device:10, Factorizer
thermalexpansion:device:11, Creature Encaptulator
thermalexpansion:device:12, Vacuumulator
thermalexpansion:dynamo:0, Steam Dynamo (Basic)
thermalexpansion:dynamo:1, Magmatic Dynamo (Basic)
thermalexpansion:dynamo:2, Compression Dynamo (Basic)
thermalexpansion:dynamo:3, Reactant Dynamo (Basic)
thermalexpansion:dynamo:4, Enervation Dynamo (Basic)
thermalexpansion:dynamo:5, Numismatic Dynamo (Basic)
thermalexpansion:cell:0, Energy Cell (Basic)
thermalexpansion:tank:0, Portable Tank (Basic)
thermalexpansion:cache:0, Cache (Basic)
thermalexpansion:strongbox:0, Strongbox (Basic)
thermalexpansion:capacitor:0, Flux Capacitor (Basic)
thermalexpansion:capacitor:1, Flux Capacitor (Hardened)
thermalexpansion:capacitor:2, Flux Capacitor (Reinforced)
thermalexpansion:capacitor:3, Flux Capacitor (Signalum)
thermalexpansion:capacitor:4, Flux Capacitor (Resonant)
thermalexpansion:capacitor:32000, Flux Capacitor (Creative)
thermalexpansion:satchel:0, Satchel (Basic)
thermalexpansion:satchel:1, Satchel (Hardened)
thermalexpansion:satchel:2, Satchel (Reinforced)
thermalexpansion:satchel:3, Satchel (Signalum)
thermalexpansion:satchel:4, Satchel (Resonant)
thermalexpansion:satchel:100, Satchel (Void)
thermalexpansion:satchel:32000, Satchel (Creative)
thermalexpansion:frame:0, Machine Frame
thermalexpansion:frame:64, Device Frame
thermalexpansion:frame:128, Energy Cell Frame
thermalexpansion:frame:129, Hardened Cell Frame
thermalexpansion:frame:130, Reinforced Cell Frame (Empty)
thermalexpansion:frame:131, Signalum Cell Frame (Empty)
thermalexpansion:frame:132, Resonant Cell Frame (Empty)
thermalexpansion:frame:146, Reinforced Cell Frame (Full)
thermalexpansion:frame:147, Signalum Cell Frame (Full)
thermalexpansion:frame:148, Resonant Cell Frame (Full)
thermalexpansion:augment:128, Augment: Auxiliary Reception Coil
thermalexpansion:augment:129, Augment: Auxiliary Sieve
thermalexpansion:augment:130, Augment: Nullification Chamber
thermalexpansion:augment:256, Augment: Trivection Chamber
thermalexpansion:augment:257, Augment: Flux Anodizers
thermalexpansion:augment:258, Augment: Pyrolytic Conversion
thermalexpansion:augment:273, Augment: Tectonic Initiator
thermalexpansion:augment:288, Augment: Resin Funnel
thermalexpansion:augment:303, Augment: Metallurgical Recovery
thermalexpansion:augment:304, Augment: Pyro-Concentrator
thermalexpansion:augment:320, Augment: Nutrient Recovery
thermalexpansion:augment:323, Augment: Sapling Infuser
thermalexpansion:augment:324, Augment: Monoculture Cycle
thermalexpansion:augment:336, Augment: Numismatic Press
thermalexpansion:augment:337, Augment: Gearworking Die
thermalexpansion:augment:352, Augment: Pyroconvective Loop
thermalexpansion:augment:368, Augment: Reflux Column
thermalexpansion:augment:369, Augment: Alchemical Retort
thermalexpansion:augment:400, Augment: Flux Linkage Concentrator
thermalexpansion:augment:401, Augment: Flux Reconstruction
thermalexpansion:augment:402, Augment: Parabolic Flux Coupling
thermalexpansion:augment:416, Augment: Enstabulation Apparatus
thermalexpansion:augment:432, Augment: Pattern Validation
thermalexpansion:augment:433, Augment: Fluidic Fabrication
thermalexpansion:augment:448, Augment: Reagent Recovery
thermalexpansion:augment:496, Augment: Pyroclastic Injection
thermalexpansion:augment:497, Augment: Clastic Deposition
thermalexpansion:augment:512, Augment: Auxiliary Transmission Coil
thermalexpansion:augment:513, Augment: Fuel Catalyzer
thermalexpansion:augment:514, Augment: Transmission Coil Ducting
thermalexpansion:augment:515, Augment: Excitation Field Limiter
thermalexpansion:augment:576, Augment: Boiler Conversion
thermalexpansion:augment:640, Augment: Turbine Conversion
thermalexpansion:augment:656, Augment: Isentropic Reservoir
thermalexpansion:augment:672, Augment: Closed-Loop Cooling
thermalexpansion:augment:673, Augment: Ignition Plugs
thermalexpansion:augment:674, Augment: Agitative Manifold
thermalexpansion:augment:688, Augment: Elemental Catalyzer
thermalexpansion:augment:704, Augment: Disjunctive Extraction
thermalexpansion:augment:720, Augment: Lapidary Calibration
thermalexpansion:florb:0, Florb (Empty§r)
thermalexpansion:florb:1, Magmatic Florb (Empty§r)
thermalexpansion:morb:0, Morb (Empty§r)
thermalexpansion:morb:1, Reusable Morb (Empty§r)
extracells:part.base:0, ME Fluid Export Bus
extracells:part.base:1, ME Fluid Import Bus
extracells:part.base:2, ME Fluid Storage Bus
extracells:part.base:3, ME Fluid Terminal
extracells:part.base:4, ME Fluid Level Emitter
extracells:part.base:5, ME Fluid Annihilation Plane
extracells:part.base:6, ME Fluid Formation Plane
extracells:part.base:7, ME Drive Fixture
extracells:part.base:8, ME Energy Cell Fixture
extracells:part.base:9, ME Fluid Interface
extracells:part.base:10, ME Fluid Storage Monitor
extracells:part.base:11, ME Fluid Conversion Monitor
extracells:part.base:12, ME Ore Dictionary Export Bus
extracells:part.base:13, ME Gas Import Bus
extracells:part.base:14, ME Gas Export Bus
extracells:part.base:15, ME Gas Terminal
extracells:part.base:16, ME Gas Storage Bus
extracells:part.base:17, ME Gas Level Emitter
extracells:part.base:18, ME Gas Storage Monitor
extracells:part.base:19, ME Gas Conversion Monitor
extracells:storage.fluid:0, ME 1k Fluid Storage Cell
extracells:storage.fluid:1, ME 4k Fluid Storage Cell
extracells:storage.fluid:2, ME 16k Fluid Storage Cell
extracells:storage.fluid:3, ME 64k Fluid Storage Cell
extracells:storage.fluid:4, ME 256k Fluid Storage Cell
extracells:storage.fluid:5, ME 1024k Fluid Storage Cell
extracells:storage.fluid:6, ME 4096k Fluid Storage Cell
extracells:storage.physical:0, ME 256k Storage Cell
extracells:storage.physical:1, ME 1024k Storage Cell
extracells:storage.physical:2, ME 4096k Storage Cell
extracells:storage.physical:3, ME 16384k Storage Cell
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.physical:4, ME Block Container - Empty
extracells:storage.gas:0, ME 1k Gas Storage Cell
extracells:storage.gas:1, ME 4k Gas Storage Cell
extracells:storage.gas:2, ME 16k Gas Storage Cell
extracells:storage.gas:3, ME 64k Gas Storage Cell
extracells:storage.gas:4, ME 256k Gas Storage Cell
extracells:storage.gas:5, ME 1024k Gas Storage Cell
extracells:storage.gas:6, ME 4096k Gas Storage Cell
extracells:pattern.fluid:0, ME Fluid Pattern
extracells:pattern.fluid:0, ME Fluid Pattern: Water
extracells:pattern.fluid:0, ME Fluid Pattern: Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Gold
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Pigiron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Cobalt
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ardite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manyullyn
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Knightslime
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Brass
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Copper
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Tin
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Bronze
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Zinc
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Lead
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Nickel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Silver
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Electrum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Steel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Aluminum
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Chlorine
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfur Dioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sulfur Trioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrogen Chloride
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Ethylene
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Brine
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid D-T Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Steam
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Magma
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Frozen Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Crystallized Water
extracells:pattern.fluid:0, ME Fluid Pattern: Radioactive Water
extracells:pattern.fluid:0, ME Fluid Pattern: Clean Water
extracells:pattern.fluid:0, ME Fluid Pattern: Infected Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Methane
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Nitrogen Ice
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Hydrocarbon
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Chocolate
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Caramel
extracells:pattern.fluid:0, ME Fluid Pattern: Canola Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Canola Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Crystallized Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Empowered Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Fiery
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Knightmetal
extracells:pattern.fluid:0, ME Fluid Pattern: Fiery Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Slop
extracells:pattern.fluid:0, ME Fluid Pattern: Holstein Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Friesian Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Jersey Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Goat Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Sheep Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Beryllium
extracells:pattern.fluid:0, ME Fluid Pattern: Calcium
extracells:pattern.fluid:0, ME Fluid Pattern: Calciumcarbonate
extracells:pattern.fluid:0, ME Fluid Pattern: Chlorite
extracells:pattern.fluid:0, ME Fluid Pattern: Deuterium
extracells:pattern.fluid:0, ME Fluid Pattern: Glyceryl
extracells:pattern.fluid:0, ME Fluid Pattern: Helium
extracells:pattern.fluid:0, ME Fluid Pattern: Helium3
extracells:pattern.fluid:0, ME Fluid Pattern: Heliumplasma
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Lithium
extracells:pattern.fluid:0, ME Fluid Pattern: Mercury
extracells:pattern.fluid:0, ME Fluid Pattern: Methane
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrocoalfuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrofuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogendioxide
extracells:pattern.fluid:0, ME Fluid Pattern: Potassium
extracells:pattern.fluid:0, ME Fluid Pattern: Silicon
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium
extracells:pattern.fluid:0, ME Fluid Pattern: Sodiumpersulfate
extracells:pattern.fluid:0, ME Fluid Pattern: Tritium
extracells:pattern.fluid:0, ME Fluid Pattern: Wolframium
extracells:pattern.fluid:0, ME Fluid Pattern: Carbon
extracells:pattern.fluid:0, ME Fluid Pattern: Carbon Fiber
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrocarbon
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfur
extracells:pattern.fluid:0, ME Fluid Pattern: Sodium Sulfide
extracells:pattern.fluid:0, ME Fluid Pattern: Diesel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrodiesel
extracells:pattern.fluid:0, ME Fluid Pattern: Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
extracells:pattern.fluid:0, ME Fluid Pattern: Compressed Air
extracells:pattern.fluid:0, ME Fluid Pattern: Electrolyzed Water
extracells:pattern.fluid:0, ME Fluid Pattern: Ethanol
extracells:pattern.fluid:0, ME Fluid Pattern: Biomass
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Crushed Ice
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Short Mead
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Latex
extracells:pattern.fluid:0, ME Fluid Pattern: Turpentine
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Lemon Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Lime Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Orange Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Carrot Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Tomato Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cranberry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Grapefruit Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Olive Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Pineapple Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Juice
extracells:pattern.fluid:0, ME Fluid Pattern: White Grape Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Red Grape Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Carrot Wine
extracells:pattern.fluid:0, ME Fluid Pattern: White Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Red Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Sparkling Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Agave Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Potatoes
extracells:pattern.fluid:0, ME Fluid Pattern: Citrus Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Cranberry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Pineapple Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Tomato Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Ale
extracells:pattern.fluid:0, ME Fluid Pattern: Lager
extracells:pattern.fluid:0, ME Fluid Pattern: Wheat Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Rye Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Corn Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Stout
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Grain Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Wheat Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Rye Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Corn Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Neutral Spirit
extracells:pattern.fluid:0, ME Fluid Pattern: Vodka
extracells:pattern.fluid:0, ME Fluid Pattern: White Rum
extracells:pattern.fluid:0, ME Fluid Pattern: Dark Rum
extracells:pattern.fluid:0, ME Fluid Pattern: Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Bourbon
extracells:pattern.fluid:0, ME Fluid Pattern: Rye Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Wheat Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Fortified Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Tequila
extracells:pattern.fluid:0, ME Fluid Pattern: Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Citrus Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Cachaca
extracells:pattern.fluid:0, ME Fluid Pattern: Gin
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Almond Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Orange Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Chocolate Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Mint Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Hazelnut Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Cinnamon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Coffee Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Melon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Anise Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Lemon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Herbal Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Blackcurrant Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Blackberry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Raspberry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Amber
extracells:pattern.fluid:0, ME Fluid Pattern: Crystallized Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Experience
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Blood Infused Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Dark Magic Essence
extracells:pattern.fluid:0, ME Fluid Pattern: White Magic Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Essence of the Gods
extracells:pattern.fluid:0, ME Fluid Pattern: Cooking Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Vinegar
extracells:pattern.fluid:0, ME Fluid Pattern: Super Glue
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Crystalline
extracells:pattern.fluid:0, ME Fluid Pattern: Raw Boosting Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Boosting Mixture
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Shibuichi
extracells:pattern.fluid:0, ME Fluid Pattern: Creosote Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Liquifacted Coal
extracells:pattern.fluid:0, ME Fluid Pattern: Crude Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Naphtha
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Syrup
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Tree Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Biocrude
extracells:pattern.fluid:0, ME Fluid Pattern: Grassoline
extracells:pattern.fluid:0, ME Fluid Pattern: Mushroom Stew
extracells:pattern.fluid:0, ME Fluid Pattern: Essence of Knowledge
extracells:pattern.fluid:0, ME Fluid Pattern: Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Splash Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Lingering Potion
extracells:pattern.fluid:0, ME Fluid Pattern: Destabilized Redstone
extracells:pattern.fluid:0, ME Fluid Pattern: Energized Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Resonant Ender
